Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
46	10.484419	4.8166437	29.705305	-6.1763163	10.0	72.72359	11.334244	106.72001	49.45265	1175000	-0.022449387	20.351114	-0.043402337	-7.829898	2.4681914	2.1511693	0.53152	99.0	74864.37918305397
47	9.536683	4.683395	27.997395	-6.0693355	10.0	71.301605	11.127292	109.55889	47.407627	1200000	-0.04560238	20.048878	-0.016652297	-8.836954	2.3255703	1.9570222	0.52856	99.0	76439.89401769638
48	10.401956	5.098022	29.177841	-7.386988	10.0	73.71347	12.435298	112.3314	47.513634	1225000	-0.018608091	18.337172	-0.05220508	-6.1855764	2.1197457	1.9935297	0.53348	99.0	78012.79174256325
49	10.572373	4.886005	28.901812	-6.720443	10.0	73.1603	12.5845785	112.391106	46.257572	1250000	-0.03921111	20.366993	-0.024405189	-7.9783554	2.1398342	1.8743632	0.53208	99.0	79586.16181111336
50	10.79613	5.1957927	32.813557	-4.4534116	10.0	72.94614	12.996427	115.34245	46.663822	1275000	-0.051292013	21.557648	-0.018152919	-9.94327	1.9373708	1.7288722	0.53292	99.0	81168.09796619415
51	9.799989	4.846251	25.25855	-5.962509	10.0	73.64653	12.974062	116.709366	48.625374	1300000	0.20290297	20.246197	-0.26925847	-8.329609	2.0521567	1.9410758	0.52876	99.0	82749.49612283707
52	10.395039	5.2555714	27.330355	-5.143533	10.0	74.16845	13.909746	116.515686	50.878727	1325000	-0.02054921	19.647787	-0.046691574	-7.3720617	1.9580472	1.6473547	0.51928	99.0	84330.05344724655
53	9.522016	4.876789	35.190937	-5.9586377	10.0	74.613625	12.259747	116.85996	53.786514	1350000	-0.019116923	19.694103	-0.04551205	-7.6194506	1.9879178	1.9097297	0.55856	99.0	85912.46331310272
54	9.242008	4.8380585	24.786371	-6.952697	10.0	78.87006	11.375012	121.02271	57.54668	1375000	0.012031625	21.074303	-0.08265332	-7.7117605	2.4280212	2.33917	0.56168	99.0	87502.87011194229
55	10.131814	4.4406796	24.29247	-5.8107057	10.0	80.4342	11.518727	119.897575	64.62156	1400000	-0.047758203	16.669382	-0.03565259	-5.616337	2.6540356	2.4309406	0.587	99.0	89076.89321994781
56	10.283157	5.360984	27.219603	-7.1263423	10.0	81.443245	12.097263	124.72883	64.21715	1425000	-0.032382425	21.156296	-0.049619604	-7.360153	2.7083716	2.4785712	0.59072	99.0	90656.56144690514
