Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
43	0.51128	0.4998727	1.0	0.0	1.0	0.5023836	0.86783135	2.0047123	-0.017473537	1100000	-0.110236526	7.72389e-06	-0.005160831	-8.8335355e-07	2.2838168	0.03251144	0.697	0.0	11490.541430950165
44	0.50468	0.4999781	1.0	0.0	1.0	0.49200305	0.8614574	2.0031252	-0.015129801	1125000	-0.11339226	7.265004e-06	-0.004516028	-8.103216e-07	2.289654	0.040152192	0.71524	0.0	11732.16917181015
45	0.50516	0.49997336	1.0	0.0	1.0	0.49565136	0.86411244	2.0022876	-0.018918687	1150000	-0.11581983	6.9928706e-06	-0.0042387694	-7.8323046e-07	2.2882788	0.042752553	0.7306	0.0	11974.459177970886
46	0.5036	0.49998704	1.0	0.0	1.0	0.4945733	0.8628922	2.0026674	-0.015691236	1175000	-0.11679991	6.543131e-06	-0.0039145797	-7.223239e-07	2.2820735	0.043413155	0.75148	0.0	12216.512100219727
47	0.5022	0.4999952	1.0	0.0	1.0	0.49381614	0.86256677	2.0023623	-0.01593224	1200000	-0.117918536	6.2222416e-06	-0.0038438886	-7.311278e-07	2.2728941	0.042947453	0.76604	0.0	12458.225927352905
48	0.51632	0.4997336	1.0	0.0	1.0	0.50575626	0.8690561	2.000992	-0.016162757	1225000	-0.118726194	5.88247e-06	-0.003434509	-6.545838e-07	2.249667	0.029841078	0.7794	0.0	12700.452839374542
49	0.50892	0.4999204	1.0	0.0	1.0	0.4961113	0.86404383	2.0008764	-0.014038999	1250000	-0.11888996	5.4542706e-06	-0.0038481057	-6.4932556e-07	2.2430437	0.03949248	0.79364	0.0	12942.654730081558
50	0.50104	0.49999893	1.0	0.0	1.0	0.48908484	0.859448	2.0003083	-0.0126474	1275000	-0.1214976	5.2242053e-06	-0.0035528243	-6.0302455e-07	2.2520711	0.05869917	0.81612	0.0	13200.57871556282
51	0.5064	0.49995902	1.0	0.0	1.0	0.495567	0.8633704	2.000291	-0.015744044	1300000	-0.12269818	4.947105e-06	-0.0035128817	-4.5384422e-07	2.234763	0.055926867	0.8302	0.0	13442.806542158127
52	0.52288	0.49947625	1.0	0.0	1.0	0.50924003	0.8713031	1.9997587	-0.015359316	1325000	-0.12495305	4.8075085e-06	-0.0033172518	-5.7103443e-07	2.2214673	0.059639357	0.84116	0.0	13685.017806768417
