Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
39	0.54	0.49839744	1.0	0.0	1.0	1.093795	0.0002927799	1.0957031	1.09375	40000	-0.45882237	0.9841112	-0.018674612	-0.00034099817	1.0532771	-0.0346193	0.783	99.0	1064.7236890792847
40	0.582	0.49323022	1.0	0.0	1.0	1.0847178	0.0024148948	1.0859375	1.078125	41000	-0.4619239	0.9685468	-0.012756646	-0.0032638907	1.0501853	-0.06034918	0.776	99.0	1097.6277599334717
41	0.63	0.4828043	1.0	0.0	1.0	1.1187187	0.0027353123	1.125	1.1171875	42000	-0.44334117	0.9415778	-0.014474958	-0.013127327	1.0019884	-0.07084635	0.714	99.0	1123.3100879192352
42	0.552	0.49728867	1.0	0.0	1.0	1.1881446	0.0014499241	1.1914062	1.1875	43000	-0.44151506	0.9884142	-0.019833237	-0.006206095	1.0128725	-0.0033859678	0.722	99.0	1148.8697261810303
43	0.56	0.49638695	1.0	0.0	1.0	1.1413281	0.0015007323	1.1445312	1.140625	44000	-0.46216282	0.97744995	-0.013996482	-0.001483202	1.0498146	-0.044707395	0.776	99.0	1174.3156967163086
44	0.5	0.5	1.0	0.0	1.0	1.1250576	0.0003111528	1.1269531	1.125	45000	-0.46476758	1.0070328	-0.015260041	-0.014348984	1.091563	0.002443987	0.777	99.0	1199.9681174755096
45	0.491	0.49991897	1.0	0.0	1.0	1.0532871	0.0025216585	1.0546875	1.046875	46000	-0.47701782	0.9954148	-0.011412799	-0.0039738417	1.1229619	-0.013418253	0.785	99.0	1227.0188002586365
46	0.528	0.4992154	1.0	0.0	1.0	1.0072871	0.0019395417	1.0078125	1.0	47000	-0.4306225	0.98912495	-0.013734579	-0.0018255115	1.0551723	-0.002310089	0.685	99.0	1252.2583501338959
47	0.589	0.49201524	1.0	0.0	1.0	1.03125	0.0	1.03125	1.03125	48000	-0.430371	0.97849864	-0.009709269	-0.01674205	0.94246656	-0.027338352	0.674	99.0	1277.7850844860077
48	0.687	0.4637144	1.0	0.0	1.0	1.1161308	0.0026592778	1.1171875	1.109375	49000	-0.39137644	0.9149247	-0.008944273	-0.053709447	0.82970285	-0.036297917	0.578	99.0	1303.1203515529633
49	0.638	0.48057878	1.0	0.0	1.0	1.2652735	0.0010972321	1.265625	1.2617188	50000	-0.44459552	0.91391724	-0.009804696	0.00053346157	1.0025972	-0.09824039	0.723	99.0	1331.545358657837
